AGRDE_FLAG_NM,BMI_IDEX_GRAD_NM,SPORTS_STEP_NM,RECOMEND_MVM_NM,CALORIE_KCAL,EXERCISE_TIME_MIN
10대,1단계비만,준비운동,동적 스트레칭,80,10
10대,1단계비만,준비운동,몸통 비틀기,50,10
10대,1단계비만,준비운동,발 끝 당기기,30,10
10대,1단계비만,준비운동,발목 돌리기,30,10
10대,1단계비만,준비운동,양발 교차하여 서서 몸통 숙이기,40,10
10대,1단계비만,준비운동,엎드려 한발 원 그리기,70,10
10대,1단계비만,준비운동,정적 스트레칭  루틴프로그램,40,10
10대,1단계비만,본운동,맨몸운동  루틴프로그램,120,30
10대,1단계비만,본운동,버피 테스트,350,15
10대,1단계비만,본운동,수영,250,45
10대,1단계비만,본운동,자전거타기,200,60
10대,1단계비만,본운동,플랭크,100,15
10대,1단계비만,본운동,조깅,220,40
10대,1단계비만,본운동,줄넘기 운동,300,30
10대,1단계비만,마무리운동,복식호흡,20,5
10대,1단계비만,마무리운동,아기자세,20,5
10대,1단계비만,마무리운동,옆구리 스트레칭,40,5
10대,1단계비만,마무리운동,온 몸 뻗어주기,40,5
10대,1단계비만,마무리운동,요가 및 필라테스  루틴프로그램,90,45
10대,1단계비만,마무리운동,정적 스트레칭  루틴프로그램,40,10
10대,1단계비만,마무리운동,줄넘기 운동,300,30
10대,1단계비만,준비운동,동적 스트레칭,80,10
10대,1단계비만,준비운동,몸통 비틀기,50,10
10대,1단계비만,준비운동,발 끝 당기기,30,10
10대,1단계비만,준비운동,발목 돌리기,30,10
10대,1단계비만,준비운동,양발 교차하여 서서 몸통 숙이기,40,10
10대,1단계비만,준비운동,엎드려 한발 원 그리기,70,10
10대,1단계비만,준비운동,정적 스트레칭  루틴프로그램,40,10
10대,1단계비만,본운동,맨몸운동  루틴프로그램,120,30
10대,1단계비만,본운동,버피 테스트,350,15
10대,1단계비만,본운동,수영,250,45
10대,1단계비만,본운동,자전거타기,200,60
10대,1단계비만,본운동,조깅,220,40
10대,1단계비만,본운동,줄넘기 운동,300,30
10대,1단계비만,마무리운동,복식호흡,20,5
10대,1단계비만,마무리운동,아기자세,20,5
10대,1단계비만,마무리운동,옆구리 스트레칭,40,5
10대,1단계비만,마무리운동,온 몸 뻗어주기,40,5
10대,1단계비만,마무리운동,요가 및 필라테스  루틴프로그램,90,45
10대,1단계비만,마무리운동,정적 스트레칭  루틴프로그램,40,10
10대,1단계비만,마무리운동,줄넘기 운동,300,30
10대,2단계비만,준비운동,동적 스트레칭,80,10
10대,2단계비만,준비운동,몸통 비틀기,50,10
10대,2단계비만,준비운동,발 끝 당기기,30,10
10대,2단계비만,준비운동,발목 돌리기,30,10
10대,2단계비만,준비운동,양발 교차하여 서서 몸통 숙이기,40,10
10대,2단계비만,준비운동,엎드려 한발 원 그리기,70,10
10대,2단계비만,준비운동,정적 스트레칭  루틴프로그램,40,10
10대,2단계비만,본운동,맨몸운동  루틴프로그램,120,30
10대,2단계비만,본운동,버피 테스트,350,15
10대,2단계비만,본운동,수영,250,45
10대,2단계비만,본운동,자전거타기,200,60
10대,2단계비만,본운동,플랭크,100,15
10대,2단계비만,본운동,조깅,220,40
10대,2단계비만,본운동,줄넘기 운동,300,30
10대,2단계비만,마무리운동,복식호흡,20,5
10대,2단계비만,마무리운동,아기자세,20,5
10대,2단계비만,마무리운동,옆구리 스트레칭,40,5
10대,2단계비만,마무리운동,온 몸 뻗어주기,40,5
10대,2단계비만,마무리운동,요가 및 필라테스  루틴프로그램,90,45
10대,2단계비만,마무리운동,정적 스트레칭  루틴프로그램,40,10
10대,2단계비만,마무리운동,줄넘기 운동,300,30
10대,2단계비만,준비운동,동적 스트레칭,80,10
10대,2단계비만,준비운동,몸통 비틀기,50,10
10대,2단계비만,준비운동,발 끝 당기기,30,10
10대,2단계비만,준비운동,발목 돌리기,30,10
10대,2단계비만,준비운동,양발 교차하여 서서 몸통 숙이기,40,10
10대,2단계비만,준비운동,엎드려 한발 원 그리기,70,10
10대,2단계비만,준비운동,정적 스트레칭  루틴프로그램,40,10
10대,2단계비만,본운동,맨몸운동  루틴프로그램,120,30
10대,2단계비만,본운동,버피 테스트,350,15
10대,2단계비만,본운동,수영,250,45
10대,2단계비만,본운동,자전거타기,200,60
10대,2단계비만,본운동,조깅,220,40
10대,2단계비만,본운동,줄넘기 운동,300,30
10대,2단계비만,마무리운동,모관운동,50,10
10대,2단계비만,마무리운동,아기자세,20,5
10대,2단계비만,마무리운동,옆구리 스트레칭,40,5
10대,2단계비만,마무리운동,온 몸 뻗어주기,40,5
10대,2단계비만,마무리운동,요가 및 필라테스  루틴프로그램,90,45
10대,2단계비만,마무리운동,정적 스트레칭  루틴프로그램,40,10
10대,2단계비만,마무리운동,줄넘기 운동,300,30
10대,3단계비만,준비운동,나비자세,30,10
10대,3단계비만,준비운동,동적 스트레칭,80,10
10대,3단계비만,준비운동,발 끝 당기기,30,10
10대,3단계비만,준비운동,발목 돌리기,30,10
10대,3단계비만,준비운동,시소우,150,10
